filename;rms_mean;rms_std;zcr_mean;zcr_std;tempo;n_beats;spectral_centroid_mean;spectral_centroid_std;spectral_rolloff_mean;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;chroma_stft_mean;chroma_stft_std
The Pitcher - Drunk On The Night.mp3;3017446;1512547;1,04E+16;5,24E+15;[151.99908088];446;2,59E+15;7,69E+15;5,70E+15;-35074173;10943009;79789116;2651758;-3571467;23568703;13785216;12411793;-56244764;14130225;6290762;12468805;-4662554;12361089;10721974;14224865;65866876;11644246;30354044;13478797;-7211475;13053434;12236555;12674321;-36633492;108968525;3459464;30386633
The Prideez, XTROZZ - Believe (Extended Mix) (Extended Mix) my-free-mp3s.com .mp3;21591365;14505969;1,29E+16;7,74E+15;[151.99908088];568;2,68E+16;1,01E+16;5,56E+15;-5182269;12225603;7914249;45301037;-5861641;217335;18409233;12395236;11342422;11636301;5677214;1021391;-12643192;9343258;53338666;8721338;5699742;8305725;5282155;9289955;34706118;8273569;69115324;8099916;166735;75689673;46259925;2887464
The Prophet & Alex Holmes - Shine.mp3;2675004;16481334;1,10E+16;6,47E+15;[151.99908088];496;2,64E+16;6,84E+15;5,73E+13;-17708517;6754119;8495551;25481014;-64131656;13834009;7908079;10472645;-61075053;11436527;-12915927;14114153;35153942;9205123;24788065;11222059;40814238;76700416;10178916;7862623;-16020958;10510705;6890402;9343546;12724829;102059965;38991374;29546544
The Prophet - HRDSTL my-free-mp3s.com .mp3;34860507;23175651;1,15E+16;8,96E+15;[151.99908088];436;2,66E+16;8,93E+14;5,63E+15;-13539518;907233;7206173;35595028;-17632973;2444777;65818973;20203968;-14647717;18343956;6707416;1744631;-3197787;13508775;44369426;12030842;26823035;11674957;7440268;11378257;1957671;10834564;34853082;9839828;-37633982;77776384;5623942;26356953
The Prophet - Listen To Your Heart.mp3;25256446;15591054;1,33E+14;8,08E+15;[151.99908088];571;2,92E+15;9,58E+14;6,07E+15;-25617104;11631103;6906114;31397072;-32245028;17262985;13082378;12295123;138263;10519383;49372706;12007951;18366618;10863462;-8604192;117283125;-18849695;8532589;31198075;8490776;-21163564;9701243;3288543;8652914;-20193658;9998142;39007515;30084363
The Prophet, KELTEK - Wasteland.mp3;2970902;20328255;1,10E+15;8,55E+15;[151.99908088];481;2,71E+15;9,33E+15;5,89E+15;-32995556;10200741;7529765;35953716;23009799;18391493;17029905;12217658;98696405;1120084;10399945;9324306;83920795;11625309;5071159;9397544;-23266943;8837105;3820292;78284464;11914018;9141307;937007;9223689;45749435;9977982;47498456;2930422
The Rasmus - In The Shadows (Sub Zero Project Bootleg) (Edit) (320 kbps).mp3;39635146;16372679;1,06E+16;5,88E+15;[151.99908088];321;2,82E+15;4,98E+16;6,27E+15;36287846;9272481;7192834;17805065;-14801893;12802657;-13920219;1126961;4813129;75253806;88139;77121167;45951967;8539561;8544281;8313227;17071476;8558161;951527;8169264;54378195;74055896;72017093;77288485;36066298;79523854;45904157;2855977
The Script - Hall Of Fame (Dark Rehab Hardstyle Bootleg) my-free-mp3s.com .mp3;25277668;9981978;1,17E+16;5,83E+16;[151.99908088];651;2,59E+16;9,46E+15;5,33E+15;-28337175;11037139;8478215;4635139;-13550688;18180609;16071354;13882612;2418288;11060742;9987494;11935282;-37511308;8813879;36068485;8851229;-32225564;8562907;39083862;8762312;977332;8695291;4832835;8094695;16786901;6765145;3896025;2874605
The Weeknd - Blinding Lights (W&W Festival Mix).mp3;34465152;10207868;1,35E+15;5,33E+15;[161.49902344];553;2,79E+15;7,48E+15;5,92E+15;22281895;746408;7558255;30309256;-10577504;20214453;14078426;17472427;-53862605;12358083;4002365;11673145;-3049895;11698702;5115598;10359609;-30317826;105045;8736337;10190962;-2873094;8823044;22965713;710101;-40955877;7891415;3498665;2939499
TheFatRat & Slaydit - Stronger (feat. Anjulie).mp3;3132012;14181152;1,10E+15;7,93E+15;[161.49902344];533;2,72E+16;1,01E+16;5,81E+15;-25554714;106807976;7355684;3981218;-34151971;2274545;976255;2010582;-58187943;17694736;-37100935;2212557;-5094243;15514067;-38578224;18640175;-62695546;12993775;-4038841;13212518;-12286792;14575275;-2204211;11470539;-5572565;11120498;44426647;31515735
TheFatRat ft. Laura Brehm - Monody (The Gentle Remix) my-free-mp3s.com .mp3;21703264;97727895;1,26E+14;6,73E+15;[151.99908088];554;2,87E+15;8,80E+15;6,17E+16;-4648554;10456896;7563664;33801052;7065533;18354916;18929628;1545269;23633294;11658257;3722276;11198045;18335605;8710862;35416596;8807816;9135;77069073;4250775;7986766;-3071096;8100361;5012036;75084968;-20300586;899158;3510679;29569662
Theo Gobensen - Digital Reality (Executive Mix).mp3;2511766;13120215;1,30E+16;7,54E+15;[151.99908088];624;2,86E+15;1,00E+16;5,95E+15;-27786245;11193174;7382394;42885105;-10291413;24121323;4416924;14510255;-91979885;13324557;66869295;12916155;-7789993;10723863;-52553654;10542227;-8405894;9442052;-36134058;9142005;-37711186;8473384;1634207;9030452;-34724018;8306787;42069313;28242373
Theo Gobensen - Tales of the Phoenix.mp3;26713437;11538675;1,56E+16;8,73E+15;[151.99908088];548;3,27E+15;7,92E+15;6,88E+15;12612825;619017;6108484;25076052;-4913467;181699;8334411;14779344;-12143677;1381855;5118731;11076221;-5496322;9904753;22887795;9534931;10880644;8223372;46634393;9876951;-16999344;9917168;60176334;8381898;1627494;7866315;45070422;28754038
THEY. x Dillon Francis - Til I Die.mp3;3205351;13632573;1,19E+16;8,96E+15;[151.99908088];319;2,98E+16;1,09E+15;6,58E+15;-25093271;10074539;6420726;29650652;5151856;3238529;17764544;21521114;16198774;15515479;14923233;15273616;8101735;109457245;9321708;10281912;210725;9841322;9887432;9279182;43775315;9337942;76487613;8848029;23470828;875787;5494864;28056186
The_Half_feat_Jeremih_Young_Th.mp3;23062137;10295043;1,06E+16;7,01E+15;[172.265625];597;2,65E+16;9,91E+15;5,53E+15;-8899694;8937606;6217851;38733437;-75893345;27123974;16624073;1995982;75827465;18302761;3564667;14401617;10446908;13970508;11425156;13478314;-2994434;12886073;11502318;13375196;5463687;11711536;71091948;10657423;-20572014;10817349;38976797;30739295
Thyron - Brink Of Madness (Extended Mix).mp3;3135218;13857755;1,06E+16;6,15E+15;[151.99908088];722;2,74E+16;7,27E+15;6,15E+15;-8424843;8357652;74637505;25173992;31983552;21206255;129656;16305761;-2859343;11235007;53758492;1106253;-40199633;11634087;72638;10661583;-1955337;10934856;5830002;959937;29624257;8192805;4341522;8088906;-1570761;7142909;422429;30576742
