filename;rms_mean;rms_std;zcr_mean;zcr_std;tempo;n_beats;spectral_centroid_mean;spectral_centroid_std;spectral_rolloff_mean;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;chroma_stft_mean;chroma_stft_std
Via Vallen - Sayang.mp3;21039192;7699045;9,82E+14;5,20E+15;[143.5546875];698;2,16E+14;7,62E+15;4,40E+15;-8498765;77841675;97780785;28889421;-68117743;2064141;15368116;17728168;3346477;13281404;-26624732;14974729;27681327;14853005;-17802616;14034191;-44784284;11109854;52187815;11414075;-10218854;10780214;-3175016;9808972;-7639641;9408836;27069235;2992835
Chandelier - Sia (lyrics).mp3;26341847;9931992;1,16E+16;4,77E+16;[86.1328125];302;2,66E+16;6,92E+15;5,60E+15;-28728706;832507;80942406;25448566;5005953;2062678;2236749;1602985;4575976;12341972;5150934;14053963;11177805;15094811;-65545382;18368523;37717566;9973758;24277258;1121984;-7957068;8712403;59560556;8397024;12045324;9581308;3532876;2936934
JKT48 - Sakura no Hanabiratachi.mp3;2260747;7017172;1,33E+16;4,44E+15;[99.38401442];493;2,99E+15;5,40E+15;6,48E+16;-28608574;8773329;57990963;15978011;5784479;18019407;35743156;15026764;11462628;9169838;10636767;9805102;7640365;8045975;68434753;7660561;13112698;78906174;7466652;6719742;-50386796;7652482;34642744;63829536;-26373985;6341364;35925436;28922534
The Red Jumpsuit Apparatus - your guardian angel.mp3;2190593;8515308;9,39E+15;6,37E+15;[112.34714674];419;2,32E+16;8,51E+15;4,87E+16;-56924007;79368355;91525894;32032253;-11119674;18320965;2805392;12106024;76524663;10678356;6168745;106579075;36174119;8007131;8171229;9611541;23642531;8046009;16690569;869283;-64276996;74840493;28007367;7062953;-10740506;7324456;31989324;29378393
Avenged sevenfold - Chapter Four.mp3;2893116;48645988;1,17E+16;3,13E+15;[95.703125];473;2,30E+16;3,51E+16;4,53E+15;1782664;3206677;90605804;15666026;-31154419;1454336;38017452;14257385;9811188;9154525;14105225;96243515;20479789;8446715;6822279;71161766;30667753;6716991;4471282;64161544;-32761335;62286663;47096233;65720124;-2900448;5982517;45892063;27459064
Kla Project - Yogyakarta.mp3;2330277;6808472;1,10E+16;4,98E+16;[107.66601562];531;2,34E+15;6,11E+15;4,99E+15;-25409616;53954136;9067175;23334785;-13709834;1688961;25721292;1429107;16826807;1343213;15175023;9932871;-69533567;10392207;10091914;8461332;32325456;9467477;6091624;9592801;10289965;8077521;3591671;8804867;-5731458;76572456;37166074;2908074
Demi Lovato - Let It Go.mp3;11063528;4781596;8,50E+15;4,98E+15;[143.5546875];519;2,20E+15;8,68E+15;4,81E+15;-15859169;11801282;88606575;33301712;40209837;20136578;25140747;17561617;58806243;12445365;28257303;1789612;9916675;105447645;15247188;1399091;6059455;10398576;9227658;11584832;-9320854;11682222;5540348;9511005;-4749674;10110888;30628172;30356959
Coldplay - Princess of China.mp3;19851483;8641994;1,30E+16;5,80E+15;[112.34714674];425;2,65E+16;6,35E+15;5,39E+15;-37723137;8460881;75506996;24230076;-21881096;1693561;14109369;12007032;-1093938;11094785;62275224;9816004;32303152;9879023;4807505;9888073;-604874;10177376;16179754;10508715;-6931932;10638108;-15685974;9411052;-5141006;8880546;36217678;2866721
She - Takkan Ada Lagi Patah Hati (Ost. Aku Atau Dia) - pandumusica.info.mp3;29139474;8966724;1,12E+16;3,37E+16;[103.359375];431;2,61E+16;5,06E+16;6,10E+15;24616632;48166157;8742561;16734987;23625455;17017494;37767968;13781682;25441477;11334042;7770941;10581966;11050958;967161;8241212;8233204;2518098;8742142;6435623;7844678;-72006574;8565058;76770365;712497;-25804005;77807965;34002805;29387978
(G)I-DLE - Super Lady.mp3;29372507;9409967;1,17E+16;7,13E+15;[123.046875];303;2,84E+16;9,43E+15;6,14E+15;-17697662;7696549;7127985;30661312;2780716;2309087;16393595;1772258;52255483;1409533;66058083;1319086;464973;11907214;5378859;11887074;519381;9752889;42464914;1021008;-88083464;8596423;45113754;8210364;-12406456;9169758;42449114;30806038
Armada - Asal Kau Bahagia (Official Lyric Video).mp3;19738391;9940281;9,46E+14;5,06E+15;[135.99917763];531;2,26E+15;8,93E+15;4,84E+14;-9922827;15324736;7685711;31607224;-8265303;15408131;16550362;13790539;6337799;11329412;78379283;13445408;-119286306;9008033;57916307;9956414;-22720075;8964483;53987303;8334314;-5852811;10161001;30681374;8708341;3924698;901796;2926359;297244
Suling Sunda.mp3;15073457;9061157;9,02E+15;3,02E+15;[99.38401442];487;1,49E+16;3,61E+16;2,58E+16;-22442676;6811518;1176493;31735239;-473493;23211138;4327747;15870427;-14970797;18094671;4803228;20203808;-3182783;16742016;-22315402;16918268;5799525;15466984;14104603;14155235;603093;17668398;-17342418;16763172;-49730663;14091824;18859516;30164742
Ed Sheeran - Perfect [Official Lyric Video].mp3;22908035;8653595;8,09E+15;6,21E+15;[63.02400915];258;2,17E+15;9,97E+15;4,76E+16;-8900585;92802986;9367782;37030903;16279882;20657572;36392868;17913809;6129983;12980548;71426854;118571005;310683;11842157;32443764;10865374;-51298733;10639555;7083136;12561621;-738685;9117426;9689769;8587846;-8296216;9675125;34287792;2939576
Avenged sevenfold - So Far Away.mp3;20080578;6045274;1,30E+16;6,28E+15;[75.99954044];366;2,70E+14;7,57E+15;5,67E+15;-4007506;83543564;72168335;22675879;17323915;19569935;33627113;13535915;32557256;10104795;8338337;8336124;27645795;8070825;60008683;76291895;-34789534;7369688;38069363;76494026;-6673787;758295;19752009;67862325;-58169827;6760471;36645144;28787157
Ungu - Kau Anggap Apa.mp3;23789334;8937603;9,54E+14;5,33E+15;[135.99917763];587;2,11E+15;7,22E+15;4,37E+15;-4920451;94544495;101196175;31053658;-5601772;2005808;28908619;15224161;76513705;9683637;6206546;898053;-35470762;8492337;80810314;785477;-52235312;7785139;6561514;8703635;-57299128;7189885;-22006721;7706072;-73593836;7463713;36096433;2923639
Pinkan Mambo-Kekasih Yang Tak Dianggap.mp3;23860468;9916207;7,67E+15;4,05E+16;[99.38401442];420;1,97E+16;6,65E+14;4,27E+15;-8013823;10170746;103342766;28077349;26523037;20966099;17227627;16455065;9579339;121077795;37825134;12721035;4250615;11336843;39210865;11609691;-13735206;10298856;9180796;9918598;-8399103;10213982;32129738;7695055;-43957896;8483146;31063557;29574904
Paul Taylor - Push To Start (__.mp3;2328345;9584781;6,92E+15;3,83E+14;[123.046875];452;1,72E+16;6,93E+15;3,64E+16;-97723915;9159401;107773026;33455257;-38040223;16281878;3577282;14972323;8873376;11193747;9154691;9363481;45481515;74160666;9081921;827458;21127298;7462283;36572125;869828;71336126;10077653;5800998;9795429;491823;9314817;33258972;28968462
The Fighter (Ft. Ryan Tedder).mp3;3250914;11811523;1,03E+15;6,39E+15;[99.38401442];368;2,61E+15;8,58E+15;5,75E+16;-7954421;8976166;8275801;27478958;8007786;19414997;21475437;13181968;6506891;11670554;53320494;12127706;-16429316;9882681;64885855;9863667;-28570914;9334404;66481366;8986413;-2401321;7884502;49364157;8517377;-14863453;70162635;3932005;30232376
Synthsoldier - ERROR (Yuta Imai Remix) (Extended Mix) myfreemp3.vip .mp3;3151958;1490878;1,36E+15;7,96E+14;[151.99908088];428;3,01E+15;8,69E+15;6,33E+15;39298184;9822003;61676327;30526102;-8213351;26512648;10919999;16485178;-44315042;1925906;4330543;13576674;-36300611;1417956;20901864;12010985;-57656155;12512224;4693283;11174953;-472823;99448805;75346285;9136467;-4425652;8833957;54649526;28463823
Noisecontrollers - Break The Show (Synthsoldier Remix) myfreemp3.vip .mp3;3057934;21524374;1,12E+16;1,05E+16;[151.99908088];405;2,51E+16;1,09E+15;5,28E+15;-7166541;13118074;7094253;4307629;-57498283;2653732;1383232;22634113;5469222;1753867;10851009;15169416;16037642;12456717;6986589;1111634;1928741;10260671;70630755;8971057;16802516;9028297;20892396;8517332;-2736846;827523;57717943;26803845
House Music Ulang Tahun.mp3;19296661;55380564;8,43E+15;4,92E+15;[129.19921875];652;2,46E+16;6,40E+15;5,74E+14;-63783707;51527905;799595;21813856;12420973;23085875;29743814;15106224;11712859;1185425;12265367;106346445;5196104;9843225;77135286;9313589;-22622807;7346359;1820886;74440536;-7321043;70039706;46710724;78825364;-5278287;6818012;43499935;29354382
Gym Class Heroes ft Ryan Tedder-The Fighter.mp3;3209202;116211735;1,02E+16;6,35E+15;[99.38401442];368;2,57E+16;8,55E+15;5,68E+16;-10775572;8984576;84107994;2767401;77599773;19622139;2162388;13300556;5141175;11798775;52144027;12313495;-17678069;9999964;64470263;99837675;-29865212;9425419;6624243;910147;-24760072;79782577;48934975;8631643;-15778835;7090162;391385;30266634
Kau.mp3;17091474;59009027;7,96E+15;5,36E+16;[86.1328125];340;2,18E+15;9,09E+15;4,90E+16;-118941574;9897715;8801145;34152397;2397049;26025066;3786187;21134222;67354627;1595841;9103811;12505134;2846835;11692282;50876327;11402374;-7602582;11081427;3462751;10058158;-56073937;9883491;-33698976;9360752;-70502486;8544801;3707208;30097276
Sub Zero Project - Basstrain.mp3;246308;16536935;1,53E+15;9,79E+15;[161.49902344];482;3,28E+15;9,10E+15;6,89E+16;-1621089;8019409;55934525;29378685;-5622865;20671848;6966817;16138115;-16006261;12727168;836237;12503199;3041034;12914461;892947;12980686;18468919;11813584;4453546;10003314;-25117736;8996242;23524134;7757652;-1543111;7886852;4854898;28496125
Starway To heaven - Led Zeppelin.mp3;5713548;32531895;5,87E+16;3,59E+16;[161.49902344];791;1,38E+16;6,30E+15;2,77E+15;-26453677;9144135;1361181;36116344;-4529934;23849337;34831482;14514145;29769292;16675543;18706602;11890531;-45692964;10102671;-63721223;10971073;-8627421;9859825;-8216499;10104517;-10169655;9244323;-32247472;9480224;-5841835;10347905;30051374;2959803
Dj Genki - Kuon.mp3;34865674;12491234;1,27E+14;5,91E+15;[86.1328125];272;2,92E+15;7,16E+13;6,19E+15;26038809;81175865;65256836;29522882;-9400555;20488535;13559028;10200719;78593874;11265136;1276951;972136;20366514;9273215;8808245;9830248;1120425;9164286;85855465;9180865;3382704;8490124;6863213;8439671;-12119607;7885574;51517844;27501288
Mah!ro - It-'s Going Up In Here.mp3;30652297;12221122;1,34E+16;8,20E+15;[151.99908088];492;3,20E+15;7,55E+15;6,74E+15;3490557;10363641;5652284;2820317;34781632;18672432;20860674;15490762;52873573;13048631;9893154;11816214;-20572135;1021054;23967752;9488933;-5729683;1062043;-8988274;8844482;-4347155;95505905;17536924;9536167;-15664502;9383684;5298159;27395764
Sayang.mp3;1292538;854667;9,02E+15;7,70E+15;[143.5546875];454;2,10E+16;1,33E+15;4,51E+15;-17436763;19958347;57762844;37633804;2266492;18366302;15754639;149598675;-28370273;9212048;10998988;11088169;3190123;8083725;27916665;7742076;-1762222;7016719;20738635;7113878;-9266874;8838025;11400522;74423447;-58169575;8855678;22835082;2913341
House Music Party.mp3;17724806;99406965;1,33E+16;9,55E+14;[135.99917763];690;3,52E+16;1,15E+16;7,45E+15;-101394775;55135715;4611069;26792921;3463525;22166243;22224367;13156174;8880254;11204606;17693356;8906608;34050117;8266945;8949721;75145173;5983846;7701477;9088669;8384992;15844281;8122192;7227845;73094683;-82022077;7473753;51698464;28047293
128 - Alvaro DJ Ft Don Omar [Zumba Con Migo Remix] - [CALBUCO X__ REGION 2012].mp3;19890185;89232974;9,34E+13;4,40E+15;[129.19921875];532;2,43E+15;8,25E+15;5,47E+15;-7082574;13729576;68743744;25536182;-12689097;17562048;19864183;14219842;3264413;11601206;14115412;10558372;4588614;9546787;11815983;9749146;-9287255;73481793;7651621;8699067;29239988;72952747;48705034;68648014;34438424;74285045;4276408;30317914
Monster.mp3;22318691;99816516;1,06E+16;4,60E+16;[112.34714674];261;1,93E+16;4,35E+15;3,88E+16;-8630698;82275986;12536348;23757948;-60350914;23261824;59055706;19559212;-24344543;13473587;24940336;18247993;-67660103;15347852;9881369;17286612;37744942;12067639;3181047;121633215;21272614;11740392;-34532194;10574362;-49638525;14850421;3791442;30686185
ANJING KACILI - TIAN STORM x EVER SLKR x NANDO KOHLER BASSGILANO REVOLUTION PARTY BASSGILANO.mp3;27161;10766117;1,26E+16;7,24E+14;[89.10290948];444;2,84E+16;7,47E+15;6,27E+14;-1749492;68740685;6590391;27311554;-68912287;27747316;62793164;20162827;51108847;15445578;78985276;141588335;10088158;12649886;4108416;11390133;-15700265;10619225;77461615;12138934;48523088;12656668;8065063;10213572;-22832832;10507366;3764634;3095892
Stylar - Black Sky myfreemp3.vip .mp3;30598107;13833265;1,20E+16;5,83E+16;[161.49902344];561;2,91E+16;6,35E+14;6,38E+15;11974677;8999855;72358864;22246174;-46070013;20818306;4123066;15294025;-8137692;13385675;-7833697;119200735;-6016511;11362714;52499924;10208582;34816658;10334169;8045819;9473773;16157337;9116654;44731326;8846601;-33584252;74775147;41868412;28662324
Run The World (Girls) Album Version.mp3;24574608;110817246;9,78E+15;7,13E+15;[129.19921875];594;2,50E+16;8,26E+15;5,57E+15;-58758774;6800806;8274679;28236229;64553237;22823233;18695024;18851532;2197759;17158888;10225611;18274508;7582655;17178347;-5146976;13476107;19599037;14587369;77640667;13715112;-47814918;11396658;22988193;11157533;-38962545;10157319;42147255;29935697
David Guetta & Bebe Rexha - I'm Good (OverDrive Bootleg) myfreemp3.vip .mp3;24228105;112817496;1,35E+16;6,29E+15;[129.19921875];411;2,81E+16;7,49E+15;5,96E+15;-9242785;9563179;7017307;27440414;-1284298;19232145;14120514;1547039;39137352;13921326;8037161;13986449;-3419653;9950877;42040024;9424546;-1069537;77436757;54187207;8284817;-3477426;7783008;27276852;71967483;-17113551;67644153;45027095;27792937
DJ Sammy feat. Yanou & Do - Heaven (Synthsoldier Remix) myfreemp3.vip .mp3;22745316;1309914;1,15E+15;8,43E+15;[151.99908088];569;2,58E+16;9,87E+15;5,41E+15;-6010891;117204384;8599115;43661373;-54783535;2087155;56136503;18172237;-1001479;14458211;13900428;14129323;70848745;12911818;-7663377;13502855;6809435;9662615;33465993;9529076;-27389307;9835988;35983474;79565296;-3955066;8147072;4011077;30365503
05 Sugar.mp3;19680433;9525706;1,02E+16;6,49E+15;[117.45383523];464;2,41E+15;9,13E+15;5,20E+15;-80991066;90964935;84379776;3578703;8620354;17393265;27178713;18878513;4452052;12373511;70946145;1098664;-50886993;11155738;12208655;10400837;-45961313;9902409;9549414;9193811;-30424714;8514775;85535127;8819093;-6072046;94440155;34912586;31193423
Maroon 5 - Sugar.mp3;19680433;9525706;1,02E+16;6,49E+15;[117.45383523];464;2,41E+15;9,13E+15;5,20E+15;-80991066;90964935;84379776;3578703;8620354;17393265;27178713;18878513;4452052;12373511;70946145;1098664;-50886993;11155738;12208655;10400837;-45961313;9902409;9549414;9193811;-30424714;8514775;85535127;8819093;-6072046;94440155;34912586;31193423
4b3fd4aaerpeDeag124.mp3;21907566;4853856;1,24E+16;3,78E+15;[151.99908088];584;1,72E+15;2,91E+15;3,25E+15;-122236664;42320904;18963031;22858318;-11473637;20678728;6824634;19011131;19396078;13180786;-27151068;11859215;3957961;1164307;-19250319;10937393;-6308807;9707159;1456839;9184836;-24954885;10911053;12302713;9649453;13927997;10337802;3943063;28420842
Don Diablo - Children Of A Miracle.mp3;3114452;15587133;1,07E+16;6,41E+15;[123.046875];468;2,30E+15;9,12E+15;4,76E+15;-29773226;112172646;9177481;39059563;-22327236;3654493;12450873;2127856;-28703923;17484661;19625804;16078306;-74845963;13204296;22975483;12392533;-35353045;10129042;14138086;10286118;-37869614;9387357;21228104;8786668;-28618917;8217614;44933197;29852563
I Will Return.mp3;21423809;11227909;7,32E+15;5,66E+15;[123.046875];483;1,89E+16;8,99E+15;4,05E+16;-9030207;10626764;118764755;38645412;-27349207;2047413;19607098;13607642;12847991;12008445;4309195;11010484;28315916;9929057;-44692645;12278944;3679246;9479066;-20193307;11708954;71005195;8984814;49322257;9355029;9406039;7924582;37628883;29391512
839 - Duration.mp3;32657087;1490043;9,74E+15;6,04E+15;[103.359375];418;2,58E+16;7,96E+15;5,74E+15;-4265328;10025527;85566826;36601517;1243275;21406986;8717818;16313467;-4449617;13589396;10274057;11897051;-43360677;13381554;26143582;11358183;-16417621;11094481;48798094;9868135;-46008887;12342348;-7793462;10345231;-48966866;10298275;4896825;28281882
Pasto - Kisah Kasih Di Sekolah.mp3;19967118;1075266;5,57E+16;5,62E+16;[99.38401442];385;1,68E+16;9,24E+15;3,48E+15;-15490553;10009326;11021067;40068882;73225865;26594713;16058079;19449995;17951105;13063828;27018852;12831851;22021797;1276985;56835546;12302368;-3905105;14272348;10627219;12727053;-11181189;11380623;660326;9541654;-27821012;9395293;37763724;31094593
D'Masiv - Sudahi Perih Ini.mp3;24753776;9780283;6,96E+14;2,71E+16;[129.19921875];537;1,51E+15;3,98E+16;3,26E+15;-92078865;8573177;14345093;24193943;-36560623;20882008;63226418;17779001;-2598849;12784085;2475758;120260935;-15910362;11461836;1082206;103727255;-59240313;9438702;26653924;85204315;6167735;9140832;-77787256;72349014;73869457;7696005;3008294;29198244
Bass X Machina - The Future.mp3;2803915;15074436;1,18E+15;6,75E+15;[161.49902344];684;2,83E+16;7,78E+14;6,17E+15;-13692869;882898;7118255;26994356;24761999;18925936;16166515;15304603;-17102072;10991326;5365998;11911666;-95109123;1048783;6125495;8785303;-10373311;9567651;953668;8874601;9969207;8735928;75833764;8622816;19425727;8836689;41571257;28625494
Shake It Up Break It Down.mp3;20901111;10713106;1,03E+16;5,56E+15;[129.19921875];373;2,13E+15;6,08E+15;4,61E+15;-984534;104694496;11359984;27484882;-36594223;19999247;52639893;20620232;-32472176;16280712;3325122;20978397;-17643137;13779549;18316425;147439995;-7387706;11287456;8144655;78310876;-12924618;122353735;-18026576;812821;11987816;8760476;40251902;2994565
Cherrybelle-Beautiful.mp3;19913766;11812007;9,58E+15;5,39E+15;[123.046875];554;1,94E+16;6,29E+15;4,23E+15;-11155721;10039295;10936871;3003011;-22816767;23742975;42725918;30285864;-23445461;1459831;2733879;17840055;-848155;16460274;12342067;15426551;-7635034;116644125;13164486;12269127;-47515597;13207731;7125423;10593033;-12542269;10097863;38540068;30591953
Hardwell & Sub Zero Project - Judgement Day myfreemp3.vip .mp3;26638117;15401168;1,29E+16;9,04E+15;[151.99908088];700;3,02E+15;9,96E+15;6,66E+15;-277408;7984718;6628162;32153297;43767767;19639364;15754019;13519742;9931749;12529213;9768108;1081719;42517323;950134;8712651;9328122;13914078;9468165;70528803;864359;-78737044;8901903;4471372;827847;-12834209;8463516;569061;27079508
When The Sun Goes Down.mp3;25443706;9300567;1,36E+16;7,90E+15;[123.046875];396;2,19E+16;6,30E+15;4,62E+14;-55529373;7394198;12001699;31289751;-48288147;21132072;59095955;20057158;-3669203;15749344;34455914;16652681;-22549858;14439744;13437806;15351576;-8182398;13414115;69864902;11754489;-78535805;11183967;-35204277;993697;5358431;9622749;36821303;29820743
Linkin Park - 13 Fallout.mp3;12950605;33943716;3,58E+16;1,53E+16;[151.99908088];184;7,14E+15;3,53E+15;1,24E+16;-23085574;79148506;20796304;34906395;14222463;2696246;72349753;22829077;8783992;17875336;12662946;11381985;20257974;8421643;67205954;8918113;-50119123;686583;-28557072;923998;58029933;7618794;19727159;67215714;-13878597;6051688;29914823;29539028
Dj Panji - How i Like Ravaneemo Dutch.mp3;4226852;19918019;9,17E+15;9,98E+14;[129.19921875];639;3,08E+15;1,11E+16;6,58E+15;-48066463;9172305;3892975;40213634;10628165;29961054;31121489;24281042;1894499;13326728;26764963;13317145;14978142;11905136;14304395;11029011;38760564;10927314;12330866;10272033;43366528;8876763;8292748;8415558;6524121;8040792;6088273;2701381
Love Your Body.mp3;24246632;7451239;1,27E+16;4,97E+15;[103.359375];395;2,23E+15;4,02E+15;4,71E+15;-4483187;42343697;116287094;16190033;-5659489;15440811;5353826;14907416;-38005543;1220844;3974044;14420252;-175959;11430683;23826847;1286462;-55213394;8896313;10171913;8626889;39247673;8893755;-25190902;8572601;14052238;843087;38440835;2966054
Lyla-Mantan Kekasih.mp3;24061821;9163595;8,41E+15;5,74E+16;[99.38401442];331;1,92E+16;6,93E+15;4,13E+15;-5642001;96612564;111902794;27601269;17916849;18912209;2002327;15510207;6361515;11626364;8492705;7532962;-4356576;8662531;33526516;7331562;-13508102;952579;2397518;8525806;-84992605;8869087;14956628;7042004;13055097;73474936;35029194;2918166
Pandji Pragiwaksono - Kami Tidak Takut.mp3;21960919;122906774;6,47E+15;4,22E+16;[99.38401442];332;1,57E+16;6,27E+15;3,40E+15;-10486558;9300429;11905214;23505371;-29212525;30873077;40603554;1829541;20956695;20253563;22203068;13464303;-72651243;13282655;15050627;12248522;943924;108916;8973025;10900043;-5241787;10126291;8608411;873275;-5911309;8808688;42447105;29714108
TEGAR - AKU YANG DULU BUKAN YANG SEKARANG INBOX SCTV 2013_02_16.MP3;12902208;40743873;8,54E+15;2,84E+16;[123.046875];391;1,57E+16;3,63E+16;3,27E+16;-15670544;40182983;1523218;15639958;-60732655;20423056;61202812;17491625;-26625847;12995989;20067598;13617021;2075382;10983771;-87187326;10056228;19330387;9000237;-17352844;9446905;8653899;10054845;-14830498;9447227;47846907;7895461;28438172;303269
y2mate.com - SKELLY.mp3;37842727;1891547;7,69E+14;5,47E+15;[151.99908088];232;2,53E+14;6,38E+15;5,95E+15;-29847656;100173676;7227016;17649738;135571165;19944586;24886883;15335996;61322236;13092501;13383112;10939743;6317787;10339082;10526251;8220556;32572503;8184854;8695916;691622;4553432;65740337;8264679;62699656;32563994;57337484;5374888;282714
Justin Bieber - That Should Be Me.mp3.mp3;14666972;64917006;9,51E+15;5,84E+15;[99.38401442];321;1,88E+16;7,37E+15;3,61E+15;-13931319;7635323;109208435;3328903;-16679443;27740059;44985077;22084705;-9212341;15319414;5095876;19735361;-39063883;13599094;6534639;11672281;-9699787;12564552;14930825;10117359;-10410596;9696965;-13177487;9574424;-11220865;12181165;29062745;30820575
Sule_Ft_Eru_Sarangheyo-1.mp3;25555035;859438;9,22E+15;3,82E+16;[161.49902344];503;1,97E+16;5,31E+14;4,03E+16;-31814617;7853647;11072605;24824762;-13244655;18251461;10512536;15379169;4451941;10057564;15973096;10206975;-69389853;9700185;7031999;79365244;-13810573;86575985;23437867;8630937;-41728272;7787566;13686154;7243548;-5599439;7080249;3506964;2927933
JKT48 - Dreamin' Girls.mp3;40951725;140286945;1,49E+16;7,04E+14;[129.19921875];211;2,87E+16;7,01E+15;5,64E+15;-1854225;6567968;6816574;23616652;-19958849;21814762;33926466;21281729;-16099;11444164;-11490927;13696138;-34668446;12082012;-18392902;10932288;-40822377;10703967;-24744434;8610297;-12000001;79116306;-4145443;72967343;-8885228;9362108;35525942;3021549
Warkop DKI Ke Bali 1.mp3;9322612;7105954;5,28E+15;2,19E+16;[123.046875];601;8,07E+15;2,35E+15;1,36E+15;-2719398;67415504;15600418;39871597;9088555;33108006;-1192277;26330605;-8757298;20299334;-2198929;12822515;-56043324;14796293;-19161184;1506743;-5858357;119847355;-5815286;12537873;-917011;12520534;9987398;12032448;-10649353;10606312;33001187;32093152
y2mate.com - FREEZE.mp3;46008062;16090441;3,61E+16;3,19E+13;[129.19921875];223;1,48E+16;5,37E+15;3,28E+15;-38822456;8966001;12491098;32650146;7339374;14393886;22187368;10519872;12814428;9926028;69895444;8934225;56237454;6961431;9972028;78559947;-6477858;10642709;8303803;9177089;534003;678509;6319329;6789216;-8744319;6688763;48315474;28477073
031 - Rude - MAGIC! - 1399960241.mp3;14767888;61913997;1,11E+16;8,35E+15;[143.5546875];175;2,55E+16;9,47E+15;5,38E+16;-10530901;8712231;8012458;31099075;-7175009;24626019;19251324;1744883;10152495;145753565;5124872;12965185;-232763;122287245;5482193;11016117;-5449899;10744833;9233757;10774421;-9099636;10417087;61974964;7999511;-40008354;7915767;37232548;3046398
Greenday - Minority.mp3;25955993;7353933;1,11E+16;3,60E+16;[135.99917763];282;2,64E+16;5,57E+15;5,81E+15;-13201376;8414774;75202774;17305138;-10952845;12344768;2425733;12266598;73410425;1169606;16547295;8844656;28593738;8714593;61548634;76578274;46426754;71051493;6524712;8296249;54653976;65241666;45073886;6501438;-19490038;6444754;3921986;28960803
y2mate.com - Level Up.mp3;38056082;14691447;8,05E+15;3,91E+15;[123.046875];240;2,18E+15;7,58E+15;4,61E+14;-15087407;9846314;100879326;39917755;-16314356;20736937;1107847;25222895;-12988693;145898075;14605554;12481022;2035916;8656626;12122926;93728075;5527852;64479504;11545691;65801296;35932546;568862;9372841;5895704;41784434;50209365;5793049;25810668
Peterpan - Cobalah Mengerti.mp3;2795412;910272;5,19E+16;3,18E+15;[143.5546875];528;1,58E+16;4,97E+16;3,82E+16;-8794855;7488419;13224582;22468235;-14192632;18807587;7054007;13678733;-22121029;14389472;32521954;11614724;-1828282;11328771;19734102;8947516;-29995978;7989285;8418641;74683046;69793563;6695569;-43958383;59721494;947915;6274123;4127516;29274836
Prey - KRASH.mp3;47257742;17645872;4,13E+14;2,70E+15;[117.45383523];200;1,94E+16;5,91E+15;4,42E+15;-16676052;8874224;9853114;17555403;11356861;23007608;24637606;1220997;10754486;12236592;11668759;11863024;77472987;10330033;9435848;7381199;54418635;6601378;9022422;58230877;31641693;65427046;835524;78511667;31402037;6999221;5184262;2757131
Warkop DKI Tau Diri Donk.mp3;12609816;5897204;1,38E+16;5,27E+15;[99.38401442];215;1,97E+15;5,24E+15;3,60E+15;-13433365;59116917;13207999;3688893;-71727066;24211166;48016453;18715677;-32092007;16929115;17587306;13963942;-54528537;12585303;-36494987;9535854;24778478;10894101;-24499931;10287174;15350819;9063598;-62567954;8589412;-25163443;877143;3224102;29649547
y2mate.com - DARKSIDE 2.mp3;2930067;1641133;7,46E+15;6,77E+15;[99.38401442];219;1,76E+16;8,87E+15;3,43E+15;-8933017;8832206;11167679;48153736;-29954954;4831746;7015957;24207571;-6650202;23666332;-20998886;18640295;42712267;22724058;5460623;16989275;12470566;12315096;21432555;11535752;-51726727;940266;19058821;9918376;-19651182;1144425;5326022;26241115
y2mate.com - DARKSIDE.mp3;2669338;1425501;7,52E+15;6,78E+15;[99.38401442];215;1,69E+16;8,10E+15;3,36E+15;-98107315;92774864;11612129;45271526;-27536573;47164974;12014034;22862309;-4136566;2718049;32671258;13834476;-11410304;18312614;20183234;17609966;49623162;1248694;18994389;13501213;-47740493;1099569;8697239;11133521;-21419766;11363404;5326414;25935635
Cicak Di Dinding.mp3;14699213;8558623;1,83E+16;7,87E+15;[151.99908088];335;3,43E+16;9,19E+15;7,02E+15;-85335396;10596373;4640158;24736658;75023036;21766445;16705523;16032928;-3386959;129477825;24987042;9481554;-24709473;9785382;2341462;9321049;-3715345;8879284;12776705;10958237;-10556883;9941102;20318398;8837097;3278479;9433311;26779038;2968848
Slowboy, ALMA & Digital Farm Animals - Fake Friends (Official Lyric Video).mp3;25253254;1265358;1,28E+16;7,96E+15;[123.046875];262;2,80E+16;8,80E+15;5,93E+15;-19302599;6443874;7196617;3287697;-4672763;1947181;15225723;14826148;-64812303;13480582;28814354;12422772;-28719876;10578744;-9091884;14356966;-403063;8757878;32548306;9906656;-16056397;9067413;60327034;70429997;10464833;6897891;44037804;28660575
